Název nutrientu;Nutrienty základní;Energetická hodnota (kJ);Energetická hodnota (kcal);Bílkoviny celkové [NCF:6.25];Dusík celkový;Tuky celkové [FACF:0.800];Sacharidy celkové;Sacharidy využitelné;Vláknina potravy;Voda celková;Ethanol;Popel;Vitaminy;Vitamin B1 (thiamin);Vitamin B2 (riboflavin);Niacin ekvivalent;Niacin;Foláty celkové;Kyselina pantothenová;Vitamin B6 (pyridoxin);Vitamin B12;Vitamin C;Vitamin A;Retinol;beta-karoten;Vitamin D;Vitamin E;alfa - tokoferol;Minerální látky;Sodík;Hořčík;Fosfor;Draslík;Vápník;Železo;Měď;Zinek;Selen;Jód;Sůl;Cukry, škrob, polyoly, organické kyseliny;Cukry celkové;Fruktosa;Glukosa;Laktosa;Maltosa;Sacharosa;Škrob;Organické kyseliny;Polyoly;Mastné kyseliny a cholesterol;Nasycené mastné kyseliny;C 4:0;C 6:0;C 8:0;C 10:0;C 12:0;C 13:0;C 14:0;C 15:0;C 16:0;C 17:0;C 18:0;C 20:0;C 22:0;Mononenasycené mastné kyseliny;C 14:1;C 16:1;C 17:1;C 18:1, n-9;C 20:1, n-11;C 22:1, n-9;Polynenasycené mastné kyseliny;n-6 mastné kyseliny;C 18:2, n-6;C 18:3, n-6;C 20:4, n-6;n-3 mastné kyseliny;C 18:3, n-3;C 20:5, n-3 (EPA);C 22:5, n-3 (DPA);C 22:6, n-3 (DHA);Trans- mastné kyseliny;C 18:1, n-9 trans;C 18:2, n-6 trans;Cholesterol;Aminokyseliny;Glycin;Alanin;Valin;Leucin;Isoleucin;Serin;Threonin;Lysin;Asparagová kyselina;Glutamová kyselina;Arginin;Cystein;Methionin;Fenylalanin;Tyrosin;Tryptofan;Histidin;Prolin
Kód EuroFIR;;ENERC;ENERC;PROT;NT;FAT;CHOT;CHO;FIBT;WATER;ALC;ASH;;THIA;RIBF;NIAEQ;NIA;FOL;PANTAC;PYRXN;VITB12;VITC;VITA;RETOL;CARTB;VITD;VITE;TOCPHA;;NA;MG;P;K;CA;FE;CU;ZN;SE;ID;NACL;;SUGAR;FRUS;GLUS;LACS;MALS;SUCS;STARCH;OA;POLY;;FASAT;F4:0;F6:0;F8:0;F10:0;F12:0;F13:0;F14:0;F15:0;F16:0;F17:0;F18:0;F20:0;F22:0;FAMS;F14:1CN5;F16:1CN7;F17:1;F18:1CN9;F20:1CN11;F22:1CN9;FAPU;FACN6;F18:2CN6;F18:3CN6;F20:4CN6;FACN3;F18:3CN3;F20:5CN3;F22:5CN3;F22:6CN3;FATRN;F18:1TN9;F18:2 TTN6;CHORL;;GLY;ALA;VAL;LEU;ILE;SER;THR;LYS;ASP;GLU;ARG;CYS;MET;PHE;TYR;TRP;HIS;PRO
Jednotka;;kJ;kcal;g;g;g;g;g;g;g;g;g;;mg;mg;NE;mg;μg;mg;mg;μg;mg;RE;μg;μg;μg;ATE;mg;;mg;mg;mg;mg;mg;mg;mg;mg;μg;μg;g;;g;g;g;g;g;g;g;g;g;;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;mg;;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg
Kapusta růžičková;;204;49;4.5;0.7;0.5;8.6;4.5;4.1;85.0;0;1.4;;0.09;0.15;;;;;;;95.2;37;0;447;;0.90;0.90;;9;23;84;412;32;1.1;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.05;0.05;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;
Borůvky;;213;51;0.7;0.1;0.6;12.3;8.9;3.4;86.1;0;0.3;;0.01;0.02;;;;;;;15.7;3;0;34;;0.57;0.57;;4;3;14;66;13;0.7;;;;;0;;6.4;3.6;2.6;;;0.2;;;;;0.02;;;;;;;;;0.02;;;;;0.07;;;;0.07;;;0.39;0.17;0.17;;;0.22;0.22;;;;;;;0;;;;;;;;;;;;;;;;;;;
Sýr, Zlato, 50 % t. v s.;;1410;339;20.9;3.3;27.5;1.9;1.9;0;46.2;0;3.9;;0.04;0.45;;;;;;;0;244;234;121;0.27;0.70;0.70;;840;20;453;80;621;0.2;0.02;2.5;;11;2.1;;1.9;;;1.9;;;;;;;17.81;0.94;0.61;0.39;0.85;1.07;;3.03;;8.15;;2.78;;;7.43;0.39;0.61;;6.11;0.33;;0.80;0.58;0.58;;;0.22;0.22;;;;;;;91;;;;;;;;;;;;;;;;;;;
Závin, jablkový;;1329;316;4.7;0.8;9.9;52.8;51.2;1.6;32.1;;0.6;;;;;;;;;;;;;;;;;;188;;;;;;;;;;0.47;;24.1;4.7;2.4;0.0;0.9;16.1;;;;;6.33;0.41;0.04;0.09;0.26;0.32;0.01;1.07;0.12;3.06;0.06;0.86;0.02;0.01;2.46;0.06;0.14;0.02;2.24;0.00;0.00;0.61;0.40;0.39;0.00;0.01;0.20;0.11;0.01;;0.08;0.06;0.06;0.00;;;;;;;;;;;;;;;;;;;;
Meloun galia;;116;27;1.1;0.17;0.1;6.02;5.12;0.90;92.1;;0.7;;;;;;;;;;;;;;;;;;23;;;;;;;;;;0.06;;4.94;1.92;1.56;0;0;1.46;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Pomeranč, lyofilizovaný;;1331;315;5.9;0.94;1.1;79.3;61.7;17.6;10.4;;3.3;;;;;;;;;;;;;;;;;;6;;;;;;;;;;0.02;;57.3;16.6;13.6;0;0;27.1;;;;;0.16;0;0;0;0;0;0;0;0;0.15;0;0;0;0;0.26;0;0.04;0;0.22;0;0;0.32;0.17;0.16;0;0;0.15;0.15;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Špaldové pukance;;1523;360;13.8;2.21;3.0;74.01;64.88;9.13;7.3;;1.9;;;;;;;;;;;;;;;;;;1;;;;;;;;;;0;;1.01;0.31;0;0;0;0.70;;;;;0.33;0;0;0;0;0;0;0;0;0.31;0;0.03;0;0;0.57;0;0;0;0.57;0;0;1.27;1.21;1.21;0;0;0.06;0.06;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Chléb pšeničný celozrnný;;968;229;8.9;1.4;2.0;48.0;39.8;8.2;39.2;0;1.9;;0.28;0.11;;;;;;;0;0;0;0;;0.3;0.3;;456;69;207;201;57;2.8;;;;;1.1;;;;;;;;38.4;;;;;;;;;;;;;;;;;;;;;;;;;;0.91;0.91;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;
