Džem jahodový, modelová receptura;;;;
Název nutrientu;Kód EuroFIR;Jednotka;Hodnota;Citace
Nutrienty základní;;;;
Energetická hodnota (kJ);ENERC;kJ;781;00081
Energetická hodnota (kcal);ENERC;kcal;185;00081
Bílkoviny celkové [NCF:6.25];PROT;g;0.7;00081
Dusík celkový;NT;g;0.1;00081
Tuky celkové [FACF:0.800];FAT;g;1.9;00081
Sacharidy celkové;CHOT;g;40.3;00081
Sacharidy využitelné;CHO;g;38.6;00081
Vláknina potravy;FIBT;g;1.7;00081
Voda celková;WATER;g;56.7;00081
Ethanol;ALC;g;;
Popel;ASH;g;0.4;00081
Vitaminy;;;;
Vitamin B1 (thiamin);THIA;mg;;
Vitamin B2 (riboflavin);RIBF;mg;;
Niacin ekvivalent;NIAEQ;NE;;
Niacin;NIA;mg;;
Foláty celkové;FOL;μg;;
Kyselina pantothenová;PANTAC;mg;;
Vitamin B6 (pyridoxin);PYRXN;mg;;
Vitamin B12;VITB12;μg;;
Vitamin C;VITC;mg;;
Vitamin A;VITA;RE;;
Retinol;RETOL;μg;;
beta-karoten;CARTB;μg;;
Vitamin D;VITD;μg;;
Vitamin E;VITE;ATE;;
alfa - tokoferol;TOCPHA;mg;;
Minerální látky;;;;
Sodík;NA;mg;156;00081
Hořčík;MG;mg;;
Fosfor;P;mg;;
Draslík;K;mg;;
Vápník;CA;mg;;
Železo;FE;mg;;
Měď;CU;mg;;
Zinek;ZN;mg;;
Selen;SE;μg;;
Jód;ID;μg;;
Sůl;NACL;g;0.39;00081
Cukry, škrob, polyoly, organické kyseliny;;;;
Cukry celkové;SUGAR;g;39.0;00081
Fruktosa;FRUS;g;3.2;00081
Glukosa;GLUS;g;4.4;00081
Laktosa;LACS;g;0;00081
Maltosa;MALS;g;0;00081
Sacharosa;SUCS;g;31.4;00081
Škrob;STARCH;g;;
Organické kyseliny;OA;g;;
Polyoly;POLY;g;;
Mastné kyseliny a cholesterol;;;;
Nasycené mastné kyseliny;FASAT;g;0.56;00081
C 4:0;F4:0;g;0;00081
C 6:0;F6:0;g;0;00081
C 8:0;F8:0;g;0;00081
C 10:0;F10:0;g;0;00081
C 12:0;F12:0;g;0;00081
C 13:0;F13:0;g;0;00081
C 14:0;F14:0;g;0;00081
C 15:0;F15:0;g;0;00081
C 16:0;F16:0;g;0.45;00081
C 17:0;F17:0;g;0;00081
C 18:0;F18:0;g;0.09;00081
C 20:0;F20:0;g;0.02;00081
C 22:0;F22:0;g;0;00081
Mononenasycené mastné kyseliny;FAMS;g;0.13;00081
C 14:1;F14:1CN5;g;0;00081
C 16:1;F16:1CN7;g;0;00081
C 17:1;F17:1;g;0;00081
C 18:1, n-9;F18:1CN9;g;0.13;00081
C 20:1, n-11;F20:1CN11;g;0;00081
C 22:1, n-9;F22:1CN9;g;0;00081
Polynenasycené mastné kyseliny;FAPU;g;0.74;00081
n-6 mastné kyseliny;FACN6;g;0.48;00081
C 18:2, n-6;F18:2CN6;g;0.48;00081
C 18:3, n-6;F18:3CN6;g;0;00081
C 20:4, n-6;F20:4CN6;g;0;00081
n-3 mastné kyseliny;FACN3;g;0.26;00081
C 18:3, n-3;F18:3CN3;g;0.26;00081
C 20:5, n-3 (EPA);F20:5CN3;g;0;00081
C 22:5, n-3 (DPA);F22:5CN3;g;;
C 22:6, n-3 (DHA);F22:6CN3;g;0;00081
Trans- mastné kyseliny;FATRN;g;0;00081
C 18:1, n-9 trans;F18:1TN9;g;0;00081
C 18:2, n-6 trans;F18:2 TTN6;g;0;00081
Cholesterol;CHORL;mg;;
Aminokyseliny;;;;
Glycin;GLY;mg;;
Alanin;ALA;mg;;
Valin;VAL;mg;;
Leucin;LEU;mg;;
Isoleucin;ILE;mg;;
Serin;SER;mg;;
Threonin;THR;mg;;
Lysin;LYS;mg;;
Asparagová kyselina;ASP;mg;;
Glutamová kyselina;GLU;mg;;
Arginin;ARG;mg;;
Cystein;CYS;mg;;
Methionin;MET;mg;;
Fenylalanin;PHE;mg;;
Tyrosin;TYR;mg;;
Tryptofan;TRP;mg;;
Histidin;HIS;mg;;
Prolin;PRO;mg;;
