Ledviny hovězí;;;;
Název nutrientu;Kód EuroFIR;Jednotka;Hodnota;Citace
Nutrienty základní;;;;
Energetická hodnota (kJ);ENERC;kJ;398;00012
Energetická hodnota (kcal);ENERC;kcal;95;00012
Bílkoviny celkové [NCF:6.25];PROT;g;15.6;00020
Dusík celkový;NT;g;2.5;00012
Tuky celkové [FACF:0.770];FAT;g;3.6;00020
Sacharidy celkové;CHOT;g;0;00058
Sacharidy využitelné;CHO;g;0;00012
Vláknina potravy;FIBT;g;0;00000
Voda celková;WATER;g;79.2;00012
Ethanol;ALC;g;0;00000
Popel;ASH;g;1.1;00020
Vitaminy;;;;
Vitamin B1 (thiamin);THIA;mg;0.32;00020
Vitamin B2 (riboflavin);RIBF;mg;2.00;00020
Niacin ekvivalent;NIAEQ;NE;;
Niacin;NIA;mg;;
Foláty celkové;FOL;μg;;
Kyselina pantothenová;PANTAC;mg;;
Vitamin B6 (pyridoxin);PYRXN;mg;;
Vitamin B12;VITB12;μg;;
Vitamin C;VITC;mg;11.9;00002
Vitamin A;VITA;RE;340;00012
Retinol;RETOL;μg;340;00020
beta-karoten;CARTB;μg;;
Vitamin D;VITD;μg;;
Vitamin E;VITE;ATE;0.19;00020
alfa - tokoferol;TOCPHA;mg;0.19;00020
Minerální látky;;;;
Sodík;NA;mg;219;00020
Hořčík;MG;mg;23;00020
Fosfor;P;mg;221;00020
Draslík;K;mg;243;00020
Vápník;CA;mg;11;00020
Železo;FE;mg;7.8;00020
Měď;CU;mg;;
Zinek;ZN;mg;;
Selen;SE;μg;;
Jód;ID;μg;;
Sůl;NACL;g;;
Cukry, škrob, polyoly, organické kyseliny;;;;
Cukry celkové;SUGAR;g;;
Fruktosa;FRUS;g;;
Glukosa;GLUS;g;;
Laktosa;LACS;g;;
Maltosa;MALS;g;;
Sacharosa;SUCS;g;;
Škrob;STARCH;g;;
Organické kyseliny;OA;g;;
Polyoly;POLY;g;;
Mastné kyseliny a cholesterol;;;;
Nasycené mastné kyseliny;FASAT;g;1.70;00020
C 4:0;F4:0;g;;
C 6:0;F6:0;g;;
C 8:0;F8:0;g;;
C 10:0;F10:0;g;;
C 12:0;F12:0;g;;
C 13:0;F13:0;g;;
C 14:0;F14:0;g;;
C 15:0;F15:0;g;;
C 16:0;F16:0;g;;
C 17:0;F17:0;g;;
C 18:0;F18:0;g;;
C 20:0;F20:0;g;;
C 22:0;F22:0;g;;
Mononenasycené mastné kyseliny;FAMS;g;1.10;00020
C 14:1;F14:1CN5;g;;
C 16:1;F16:1CN7;g;;
C 17:1;F17:1;g;;
C 18:1, n-9;F18:1CN9;g;;
C 20:1, n-11;F20:1CN11;g;;
C 22:1, n-9;F22:1CN9;g;;
Polynenasycené mastné kyseliny;FAPU;g;0.30;00020
n-6 mastné kyseliny;FACN6;g;;
C 18:2, n-6;F18:2CN6;g;0.10;00020
C 18:3, n-6;F18:3CN6;g;;
C 20:4, n-6;F20:4CN6;g;;
n-3 mastné kyseliny;FACN3;g;;
C 18:3, n-3;F18:3CN3;g;;
C 20:5, n-3 (EPA);F20:5CN3;g;;
C 22:5, n-3 (DPA);F22:5CN3;g;;
C 22:6, n-3 (DHA);F22:6CN3;g;;
Trans- mastné kyseliny;FATRN;g;;
C 18:1, n-9 trans;F18:1TN9;g;;
C 18:2, n-6 trans;F18:2 TTN6;g;;
Cholesterol;CHORL;mg;479;00020
Aminokyseliny;;;;
Glycin;GLY;mg;3,4;
Alanin;ALA;mg;2,9;
Valin;VAL;mg;2,2;
Leucin;LEU;mg;3,3;
Isoleucin;ILE;mg;2,3;
Serin;SER;mg;2,1;
Threonin;THR;mg;2,3;
Lysin;LYS;mg;4,4;
Asparagová kyselina;ASP;mg;2,9;
Glutamová kyselina;GLU;mg;1,7;
Arginin;ARG;mg;2,4;
Cystein;CYS;mg;2,4;
Methionin;MET;mg;2,1;
Fenylalanin;PHE;mg;15,5;
Tyrosin;TYR;mg;7,6;
Tryptofan;TRP;mg;5,5;
Histidin;HIS;mg;13,0;
Prolin;PRO;mg;2,0;
