Maso hovězí, svíčková, libová, smažená;;;;
Název nutrientu;Kód EuroFIR;Jednotka;Hodnota;Citace
Nutrienty základní;;;;
Energetická hodnota (kJ);ENERC;kJ;699;00012
Energetická hodnota (kcal);ENERC;kcal;167;00012
Bílkoviny celkové [NCF:6.25];PROT;g;26.1;00012
Dusík celkový;NT;g;4.2;00050
Tuky celkové [FACF:0.000];FAT;g;6.9;00050
Sacharidy celkové;CHOT;g;0;00000
Sacharidy využitelné;CHO;g;0;00000
Vláknina potravy;FIBT;g;0;00000
Voda celková;WATER;g;65.1;00050
Ethanol;ALC;g;0;00000
Popel;ASH;g;1.3;00050
Vitaminy;;;;
Vitamin B1 (thiamin);THIA;mg;0.04;00050
Vitamin B2 (riboflavin);RIBF;mg;0.20;00050
Niacin ekvivalent;NIAEQ;NE;;
Niacin;NIA;mg;8.7;00050
Foláty celkové;FOL;μg;;
Kyselina pantothenová;PANTAC;mg;;
Vitamin B6 (pyridoxin);PYRXN;mg;0.44;00050
Vitamin B12;VITB12;μg;;
Vitamin C;VITC;mg;0;00000
Vitamin A;VITA;RE;7;00012
Retinol;RETOL;μg;7;00050
beta-karoten;CARTB;μg;0;00000
Vitamin D;VITD;μg;;
Vitamin E;VITE;ATE;0.40;00012
alfa - tokoferol;TOCPHA;mg;0.40;00050
Minerální látky;;;;
Sodík;NA;mg;56;00050
Hořčík;MG;mg;29;00050
Fosfor;P;mg;243;00050
Draslík;K;mg;344;00050
Vápník;CA;mg;5;00050
Železo;FE;mg;2.3;00050
Měď;CU;mg;;
Zinek;ZN;mg;4.0;00050
Selen;SE;μg;;
Jód;ID;μg;;
Sůl;NACL;g;0.1;00012
Cukry, škrob, polyoly, organické kyseliny;;;;
Cukry celkové;SUGAR;g;0;00000
Fruktosa;FRUS;g;;
Glukosa;GLUS;g;;
Laktosa;LACS;g;;
Maltosa;MALS;g;;
Sacharosa;SUCS;g;;
Škrob;STARCH;g;;
Organické kyseliny;OA;g;;
Polyoly;POLY;g;;
Mastné kyseliny a cholesterol;;;;
Nasycené mastné kyseliny;FASAT;g;3.16;00050
C 4:0;F4:0;g;;
C 6:0;F6:0;g;;
C 8:0;F8:0;g;;
C 10:0;F10:0;g;0.01;00050
C 12:0;F12:0;g;0.01;00050
C 13:0;F13:0;g;;
C 14:0;F14:0;g;0.23;00050
C 15:0;F15:0;g;0.04;00050
C 16:0;F16:0;g;1.84;00050
C 17:0;F17:0;g;0.07;00050
C 18:0;F18:0;g;0.95;00050
C 20:0;F20:0;g;0.01;00050
C 22:0;F22:0;g;;
Mononenasycené mastné kyseliny;FAMS;g;2.93;00050
C 14:1;F14:1CN5;g;0.07;00050
C 16:1;F16:1CN7;g;0.30;00050
C 17:1;F17:1;g;;
C 18:1, n-9;F18:1CN9;g;2.56;00050
C 20:1, n-11;F20:1CN11;g;0.01;00050
C 22:1, n-9;F22:1CN9;g;;
Polynenasycené mastné kyseliny;FAPU;g;0.12;00050
n-6 mastné kyseliny;FACN6;g;0.09;00050
C 18:2, n-6;F18:2CN6;g;0.09;00050
C 18:3, n-6;F18:3CN6;g;;
C 20:4, n-6;F20:4CN6;g;0.00;00050
n-3 mastné kyseliny;FACN3;g;0.02;00050
C 18:3, n-3;F18:3CN3;g;0.02;00050
C 20:5, n-3 (EPA);F20:5CN3;g;;
C 22:5, n-3 (DPA);F22:5CN3;g;;
C 22:6, n-3 (DHA);F22:6CN3;g;;
Trans- mastné kyseliny;FATRN;g;0.02;00050
C 18:1, n-9 trans;F18:1TN9;g;0.02;00050
C 18:2, n-6 trans;F18:2 TTN6;g;;
Cholesterol;CHORL;mg;61;00050
Aminokyseliny;;;;
Glycin;GLY;mg;944;00050
Alanin;ALA;mg;1314;00050
Valin;VAL;mg;1139;00050
Leucin;LEU;mg;1844;00050
Isoleucin;ILE;mg;1080;00050
Serin;SER;mg;866;00050
Threonin;THR;mg;1047;00050
Lysin;LYS;mg;1308;00050
Asparagová kyselina;ASP;mg;2133;00050
Glutamová kyselina;GLU;mg;3455;00050
Arginin;ARG;mg;1681;00050
Cystein;CYS;mg;429;00050
Methionin;MET;mg;465;00050
Fenylalanin;PHE;mg;899;00050
Tyrosin;TYR;mg;830;00050
Tryptofan;TRP;mg;;
Histidin;HIS;mg;801;00050
Prolin;PRO;mg;764;00050
