Maso hovězí, výrobní, H2;;;;
Název nutrientu;Kód EuroFIR;Jednotka;Hodnota;Citace
Nutrienty základní;;;;
Energetická hodnota (kJ);ENERC;kJ;595;00012
Energetická hodnota (kcal);ENERC;kcal;142;00012
Bílkoviny celkové [NCF:6.25];PROT;g;20.0;00012
Dusík celkový;NT;g;3.2;00068
Tuky celkové [FACF:0.000];FAT;g;6.8;00068
Sacharidy celkové;CHOT;g;0;00000
Sacharidy využitelné;CHO;g;0;00000
Vláknina potravy;FIBT;g;0;00000
Voda celková;WATER;g;71.4;00068
Ethanol;ALC;g;0;00050
Popel;ASH;g;1.0;00068
Vitaminy;;;;
Vitamin B1 (thiamin);THIA;mg;0.04;00050
Vitamin B2 (riboflavin);RIBF;mg;0.16;00050
Niacin ekvivalent;NIAEQ;NE;;
Niacin;NIA;mg;4.6;00050
Foláty celkové;FOL;μg;;
Kyselina pantothenová;PANTAC;mg;;
Vitamin B6 (pyridoxin);PYRXN;mg;0.31;00050
Vitamin B12;VITB12;μg;;
Vitamin C;VITC;mg;0;00050
Vitamin A;VITA;RE;;
Retinol;RETOL;μg;;
beta-karoten;CARTB;μg;;
Vitamin D;VITD;μg;;
Vitamin E;VITE;ATE;;
alfa - tokoferol;TOCPHA;mg;;
Minerální látky;;;;
Sodík;NA;mg;50;00068
Hořčík;MG;mg;23;00050
Fosfor;P;mg;191;00050
Draslík;K;mg;274;00050
Vápník;CA;mg;4;00050
Železo;FE;mg;2.2;00050
Měď;CU;mg;;
Zinek;ZN;mg;4.7;00050
Selen;SE;μg;;
Jód;ID;μg;;
Sůl;NACL;g;0.13;00012
Cukry, škrob, polyoly, organické kyseliny;;;;
Cukry celkové;SUGAR;g;0;00000
Fruktosa;FRUS;g;0;00000
Glukosa;GLUS;g;0;00000
Laktosa;LACS;g;0;00000
Maltosa;MALS;g;0;00000
Sacharosa;SUCS;g;0;00000
Škrob;STARCH;g;;
Organické kyseliny;OA;g;;
Polyoly;POLY;g;;
Mastné kyseliny a cholesterol;;;;
Nasycené mastné kyseliny;FASAT;g;3.16;00012
C 4:0;F4:0;g;0;00068
C 6:0;F6:0;g;0;00068
C 8:0;F8:0;g;0;00068
C 10:0;F10:0;g;0;00068
C 12:0;F12:0;g;0;00068
C 13:0;F13:0;g;0;00068
C 14:0;F14:0;g;0.15;00068
C 15:0;F15:0;g;0;00068
C 16:0;F16:0;g;1.63;00068
C 17:0;F17:0;g;0;00068
C 18:0;F18:0;g;1.37;00068
C 20:0;F20:0;g;0.01;00068
C 22:0;F22:0;g;0;00068
Mononenasycené mastné kyseliny;FAMS;g;2.67;00012
C 14:1;F14:1CN5;g;0;00068
C 16:1;F16:1CN7;g;0.17;00068
C 17:1;F17:1;g;0;00068
C 18:1, n-9;F18:1CN9;g;2.50;00068
C 20:1, n-11;F20:1CN11;g;0;00068
C 22:1, n-9;F22:1CN9;g;0;00068
Polynenasycené mastné kyseliny;FAPU;g;0.25;00012
n-6 mastné kyseliny;FACN6;g;0.23;00012
C 18:2, n-6;F18:2CN6;g;0.23;00068
C 18:3, n-6;F18:3CN6;g;0;00068
C 20:4, n-6;F20:4CN6;g;0;00068
n-3 mastné kyseliny;FACN3;g;0.02;00012
C 18:3, n-3;F18:3CN3;g;0.02;00068
C 20:5, n-3 (EPA);F20:5CN3;g;0;00068
C 22:5, n-3 (DPA);F22:5CN3;g;;
C 22:6, n-3 (DHA);F22:6CN3;g;0;00068
Trans- mastné kyseliny;FATRN;g;0;00000
C 18:1, n-9 trans;F18:1TN9;g;0;00000
C 18:2, n-6 trans;F18:2 TTN6;g;0;00000
Cholesterol;CHORL;mg;;
Aminokyseliny;;;;
Glycin;GLY;mg;1002;00050
Alanin;ALA;mg;1294;00050
Valin;VAL;mg;1107;00050
Leucin;LEU;mg;1819;00050
Isoleucin;ILE;mg;1055;00050
Serin;SER;mg;867;00050
Threonin;THR;mg;1016;00050
Lysin;LYS;mg;1179;00050
Asparagová kyselina;ASP;mg;2054;00050
Glutamová kyselina;GLU;mg;3421;00050
Arginin;ARG;mg;1412;00050
Cystein;CYS;mg;352;00050
Methionin;MET;mg;608;00050
Fenylalanin;PHE;mg;913;00050
Tyrosin;TYR;mg;876;00050
Tryptofan;TRP;mg;;
Histidin;HIS;mg;812;00050
Prolin;PRO;mg;814;00050
