Omáčka křenová, maso hovězí vařené, knedlík houskový;;;;
Název nutrientu;Kód EuroFIR;Jednotka;Hodnota;Citace
Nutrienty základní;;;;
Energetická hodnota (kJ);ENERC;kJ;682;00012
Energetická hodnota (kcal);ENERC;kcal;162;00012
Bílkoviny celkové [NCF:6.25];PROT;g;10.0;00016, 										00040
Dusík celkový;NT;g;1.6;00016, 										00040
Tuky celkové [FACF:0.000];FAT;g;5.6;00016, 										00040
Sacharidy celkové;CHOT;g;18.5;00016, 										00040
Sacharidy využitelné;CHO;g;17.4;00016, 										00040
Vláknina potravy;FIBT;g;1.1;00016, 										00040
Voda celková;WATER;g;64.5;00016, 										00040
Ethanol;ALC;g;0;00016, 										00040
Popel;ASH;g;1.4;00016, 										00040
Vitaminy;;;;
Vitamin B1 (thiamin);THIA;mg;0.05;00016, 										00040
Vitamin B2 (riboflavin);RIBF;mg;0.14;00016, 										00040
Niacin ekvivalent;NIAEQ;NE;;
Niacin;NIA;mg;1.1;00016, 										00040
Foláty celkové;FOL;μg;;
Kyselina pantothenová;PANTAC;mg;0.39;00016, 										00040
Vitamin B6 (pyridoxin);PYRXN;mg;0.07;00016, 										00040
Vitamin B12;VITB12;μg;;
Vitamin C;VITC;mg;1.0;00016, 										00040
Vitamin A;VITA;RE;33;00016, 										00040
Retinol;RETOL;μg;32;00016, 										00040
beta-karoten;CARTB;μg;12;00016, 										00040
Vitamin D;VITD;μg;;
Vitamin E;VITE;ATE;0.15;00016, 										00040
alfa - tokoferol;TOCPHA;mg;0.15;00016, 										00040
Minerální látky;;;;
Sodík;NA;mg;324;00016, 										00040
Hořčík;MG;mg;14;00016, 										00040
Fosfor;P;mg;103;00016, 										00040
Draslík;K;mg;167;00016, 										00040
Vápník;CA;mg;69;00016, 										00040
Železo;FE;mg;1.2;00016, 										00040
Měď;CU;mg;;
Zinek;ZN;mg;0.55;00016, 										00040
Selen;SE;μg;;
Jód;ID;μg;;
Sůl;NACL;g;0.8;00012
Cukry, škrob, polyoly, organické kyseliny;;;;
Cukry celkové;SUGAR;g;2.3;00016, 										00040
Fruktosa;FRUS;g;;
Glukosa;GLUS;g;;
Laktosa;LACS;g;;
Maltosa;MALS;g;;
Sacharosa;SUCS;g;;
Škrob;STARCH;g;;
Organické kyseliny;OA;g;;
Polyoly;POLY;g;;
Mastné kyseliny a cholesterol;;;;
Nasycené mastné kyseliny;FASAT;g;3.20;00016, 										00040
C 4:0;F4:0;g;0.07;00016, 										00040
C 6:0;F6:0;g;0.08;00016, 										00040
C 8:0;F8:0;g;0.05;00016, 										00040
C 10:0;F10:0;g;0.12;00016, 										00040
C 12:0;F12:0;g;0.14;00016, 										00040
C 13:0;F13:0;g;0;00016, 										00040
C 14:0;F14:0;g;0.46;00016, 										00040
C 15:0;F15:0;g;0.05;00016, 										00040
C 16:0;F16:0;g;1.62;00016, 										00040
C 17:0;F17:0;g;0.04;00016, 										00040
C 18:0;F18:0;g;0.55;00016, 										00040
C 20:0;F20:0;g;0;00016, 										00040
C 22:0;F22:0;g;0;00016, 										00040
Mononenasycené mastné kyseliny;FAMS;g;1.81;00016, 										00040
C 14:1;F14:1CN5;g;0.05;00016, 										00040
C 16:1;F16:1CN7;g;0.16;00016, 										00040
C 17:1;F17:1;g;0;00016, 										00040
C 18:1, n-9;F18:1CN9;g;1.59;00016, 										00040
C 20:1, n-11;F20:1CN11;g;0.01;00016, 										00040
C 22:1, n-9;F22:1CN9;g;0;00016, 										00040
Polynenasycené mastné kyseliny;FAPU;g;0.26;00016, 										00040
n-6 mastné kyseliny;FACN6;g;0.21;00012
C 18:2, n-6;F18:2CN6;g;0.21;00016, 										00040
C 18:3, n-6;F18:3CN6;g;;
C 20:4, n-6;F20:4CN6;g;;
n-3 mastné kyseliny;FACN3;g;0.04;00012
C 18:3, n-3;F18:3CN3;g;0.04;00016, 										00040
C 20:5, n-3 (EPA);F20:5CN3;g;;
C 22:5, n-3 (DPA);F22:5CN3;g;;
C 22:6, n-3 (DHA);F22:6CN3;g;;
Trans- mastné kyseliny;FATRN;g;0;00016, 										00040
C 18:1, n-9 trans;F18:1TN9;g;0;00016, 										00040
C 18:2, n-6 trans;F18:2 TTN6;g;0;00016, 										00040
Cholesterol;CHORL;mg;30;00016, 										00040
Aminokyseliny;;;;
Glycin;GLY;mg;457;00016, 										00040
Alanin;ALA;mg;541;00016, 										00040
Valin;VAL;mg;556;00016, 										00040
Leucin;LEU;mg;900;00016, 										00040
Isoleucin;ILE;mg;501;00016, 										00040
Serin;SER;mg;173;00016, 										00040
Threonin;THR;mg;458;00016, 										00040
Lysin;LYS;mg;622;00016, 										00040
Asparagová kyselina;ASP;mg;855;00016, 										00040
Glutamová kyselina;GLU;mg;2186;00016, 										00040
Arginin;ARG;mg;608;00016, 										00040
Cystein;CYS;mg;191;00016, 										00040
Methionin;MET;mg;257;00016, 										00040
Fenylalanin;PHE;mg;490;00016, 										00040
Tyrosin;TYR;mg;422;00016, 										00040
Tryptofan;TRP;mg;;
Histidin;HIS;mg;319;00016, 										00040
Prolin;PRO;mg;724;00016, 										00040
