Semena, ředkvičková;;;;
Název nutrientu;Kód EuroFIR;Jednotka;Hodnota;Citace
Nutrienty základní;;;;
Energetická hodnota (kJ);ENERC;kJ;2118;00091
Energetická hodnota (kcal);ENERC;kcal;512;00091
Bílkoviny celkové [NCF:6.25];PROT;g;29.2;00012
Dusík celkový;NT;g;4.67;00091
Tuky celkové [FACF:0.956];FAT;g;38.5;00091
Sacharidy celkové;CHOT;g;23.29;00012
Sacharidy využitelné;CHO;g;1.21;00012
Vláknina potravy;FIBT;g;22.08;00091
Voda celková;WATER;g;5.1;00091
Ethanol;ALC;g;;
Popel;ASH;g;4.3;00091
Vitaminy;;;;
Vitamin B1 (thiamin);THIA;mg;;
Vitamin B2 (riboflavin);RIBF;mg;;
Niacin ekvivalent;NIAEQ;NE;;
Niacin;NIA;mg;;
Foláty celkové;FOL;μg;;
Kyselina pantothenová;PANTAC;mg;;
Vitamin B6 (pyridoxin);PYRXN;mg;;
Vitamin B12;VITB12;μg;;
Vitamin C;VITC;mg;;
Vitamin A;VITA;RE;;
Retinol;RETOL;μg;;
beta-karoten;CARTB;μg;;
Vitamin D;VITD;μg;;
Vitamin E;VITE;ATE;;
alfa - tokoferol;TOCPHA;mg;;
Minerální látky;;;;
Sodík;NA;mg;6;00091
Hořčík;MG;mg;;
Fosfor;P;mg;;
Draslík;K;mg;;
Vápník;CA;mg;;
Železo;FE;mg;;
Měď;CU;mg;;
Zinek;ZN;mg;;
Selen;SE;μg;;
Jód;ID;μg;;
Sůl;NACL;g;0.01;00012
Cukry, škrob, polyoly, organické kyseliny;;;;
Cukry celkové;SUGAR;g;3.53;00012
Fruktosa;FRUS;g;0.13;00091
Glukosa;GLUS;g;1.55;00091
Laktosa;LACS;g;0;00000
Maltosa;MALS;g;0;00091
Sacharosa;SUCS;g;1.85;00091
Škrob;STARCH;g;;
Organické kyseliny;OA;g;;
Polyoly;POLY;g;;
Mastné kyseliny a cholesterol;;;;
Nasycené mastné kyseliny;FASAT;g;3.40;00012
C 4:0;F4:0;g;0;00091
C 6:0;F6:0;g;0;00091
C 8:0;F8:0;g;0;00091
C 10:0;F10:0;g;0;00091
C 12:0;F12:0;g;0;00091
C 13:0;F13:0;g;0;00091
C 14:0;F14:0;g;0;00091
C 15:0;F15:0;g;0;00091
C 16:0;F16:0;g;1.85;00091
C 17:0;F17:0;g;0;00091
C 18:0;F18:0;g;0.67;00091
C 20:0;F20:0;g;0.45;00091
C 22:0;F22:0;g;0.43;00091
Mononenasycené mastné kyseliny;FAMS;g;25.25;00012
C 14:1;F14:1CN5;g;0;00091
C 16:1;F16:1CN7;g;0;00091
C 17:1;F17:1;g;0;00091
C 18:1, n-9;F18:1CN9;g;8.71;00091
C 20:1, n-11;F20:1CN11;g;3.52;00091
C 22:1, n-9;F22:1CN9;g;13.02;00091
Polynenasycené mastné kyseliny;FAPU;g;6.96;00012
n-6 mastné kyseliny;FACN6;g;3.75;00012
C 18:2, n-6;F18:2CN6;g;3.75;00091
C 18:3, n-6;F18:3CN6;g;0;00091
C 20:4, n-6;F20:4CN6;g;0;00091
n-3 mastné kyseliny;FACN3;g;3.21;00012
C 18:3, n-3;F18:3CN3;g;3.21;00091
C 20:5, n-3 (EPA);F20:5CN3;g;0;00091
C 22:5, n-3 (DPA);F22:5CN3;g;;
C 22:6, n-3 (DHA);F22:6CN3;g;0;00091
Trans- mastné kyseliny;FATRN;g;0;00012
C 18:1, n-9 trans;F18:1TN9;g;0;00091
C 18:2, n-6 trans;F18:2 TTN6;g;0;00091
Cholesterol;CHORL;mg;;
Aminokyseliny;;;;
Glycin;GLY;mg;;
Alanin;ALA;mg;;
Valin;VAL;mg;;
Leucin;LEU;mg;;
Isoleucin;ILE;mg;;
Serin;SER;mg;;
Threonin;THR;mg;;
Lysin;LYS;mg;;
Asparagová kyselina;ASP;mg;;
Glutamová kyselina;GLU;mg;;
Arginin;ARG;mg;;
Cystein;CYS;mg;;
Methionin;MET;mg;;
Fenylalanin;PHE;mg;;
Tyrosin;TYR;mg;;
Tryptofan;TRP;mg;;
Histidin;HIS;mg;;
Prolin;PRO;mg;;
