Semena sezamová;;;;
Název nutrientu;Kód EuroFIR;Jednotka;Hodnota;Citace
Nutrienty základní;;;;
Energetická hodnota (kJ);ENERC;kJ;2680;00012
Energetická hodnota (kcal);ENERC;kcal;648;00012
Bílkoviny celkové [NCF:5.30];PROT;g;21.9;00004
Dusík celkový;NT;g;4.1;00012
Tuky celkové [FACF:0.000];FAT;g;58.5;00020
Sacharidy celkové;CHOT;g;12.5;00012
Sacharidy využitelné;CHO;g;4.6;00012
Vláknina potravy;FIBT;g;7.9;00020
Voda celková;WATER;g;3.2;00020
Ethanol;ALC;g;0;00000
Popel;ASH;g;3.9;00020
Vitaminy;;;;
Vitamin B1 (thiamin);THIA;mg;0.76;00020
Vitamin B2 (riboflavin);RIBF;mg;0.17;00020
Niacin ekvivalent;NIAEQ;NE;;
Niacin;NIA;mg;;
Foláty celkové;FOL;μg;;
Kyselina pantothenová;PANTAC;mg;;
Vitamin B6 (pyridoxin);PYRXN;mg;;
Vitamin B12;VITB12;μg;;
Vitamin C;VITC;mg;0;00020
Vitamin A;VITA;RE;1;00012
Retinol;RETOL;μg;0;00020
beta-karoten;CARTB;μg;12;00002
Vitamin D;VITD;μg;;
Vitamin E;VITE;ATE;2.25;00020
alfa - tokoferol;TOCPHA;mg;;
Minerální látky;;;;
Sodík;NA;mg;26;00020
Hořčík;MG;mg;352;00020
Fosfor;P;mg;701;00020
Draslík;K;mg;438;00020
Vápník;CA;mg;96;00020
Železo;FE;mg;9.9;00020
Měď;CU;mg;;
Zinek;ZN;mg;;
Selen;SE;μg;;
Jód;ID;μg;;
Sůl;NACL;g;0.1;00012
Cukry, škrob, polyoly, organické kyseliny;;;;
Cukry celkové;SUGAR;g;0.5;00012
Fruktosa;FRUS;g;0.1;00041
Glukosa;GLUS;g;0.3;00041
Laktosa;LACS;g;;
Maltosa;MALS;g;;
Sacharosa;SUCS;g;0.3;00041
Škrob;STARCH;g;;
Organické kyseliny;OA;g;;
Polyoly;POLY;g;;
Mastné kyseliny a cholesterol;;;;
Nasycené mastné kyseliny;FASAT;g;8.74;00012
C 4:0;F4:0;g;;
C 6:0;F6:0;g;;
C 8:0;F8:0;g;;
C 10:0;F10:0;g;;
C 12:0;F12:0;g;;
C 13:0;F13:0;g;;
C 14:0;F14:0;g;0.14;00056
C 15:0;F15:0;g;;
C 16:0;F16:0;g;5.25;00056
C 17:0;F17:0;g;;
C 18:0;F18:0;g;2.74;00056
C 20:0;F20:0;g;0.44;00056
C 22:0;F22:0;g;0.17;00056
Mononenasycené mastné kyseliny;FAMS;g;22.59;00012
C 14:1;F14:1CN5;g;;
C 16:1;F16:1CN7;g;0.17;00056
C 17:1;F17:1;g;;
C 18:1, n-9;F18:1CN9;g;22.42;00056
C 20:1, n-11;F20:1CN11;g;;
C 22:1, n-9;F22:1CN9;g;;
Polynenasycené mastné kyseliny;FAPU;g;23.26;00012
n-6 mastné kyseliny;FACN6;g;22.51;00012
C 18:2, n-6;F18:2CN6;g;22.51;00056
C 18:3, n-6;F18:3CN6;g;;
C 20:4, n-6;F20:4CN6;g;;
n-3 mastné kyseliny;FACN3;g;0.75;00012
C 18:3, n-3;F18:3CN3;g;0.75;00056
C 20:5, n-3 (EPA);F20:5CN3;g;;
C 22:5, n-3 (DPA);F22:5CN3;g;;
C 22:6, n-3 (DHA);F22:6CN3;g;;
Trans- mastné kyseliny;FATRN;g;;
C 18:1, n-9 trans;F18:1TN9;g;;
C 18:2, n-6 trans;F18:2 TTN6;g;;
Cholesterol;CHORL;mg;0;00000
Aminokyseliny;;;;
Glycin;GLY;mg;;
Alanin;ALA;mg;;
Valin;VAL;mg;;
Leucin;LEU;mg;;
Isoleucin;ILE;mg;;
Serin;SER;mg;;
Threonin;THR;mg;;
Lysin;LYS;mg;;
Asparagová kyselina;ASP;mg;;
Glutamová kyselina;GLU;mg;;
Arginin;ARG;mg;;
Cystein;CYS;mg;;
Methionin;MET;mg;;
Fenylalanin;PHE;mg;;
Tyrosin;TYR;mg;;
Tryptofan;TRP;mg;;
Histidin;HIS;mg;;
Prolin;PRO;mg;;
