Sýr, smažený;;;;
Název nutrientu;Kód EuroFIR;Jednotka;Hodnota;Citace
Nutrienty základní;;;;
Energetická hodnota (kJ);ENERC;kJ;1595;00090
Energetická hodnota (kcal);ENERC;kcal;384;00090
Bílkoviny celkové [NCF:6.25];PROT;g;22.0;00090
Dusík celkový;NT;g;3.5;00090
Tuky celkové [FACF:0.945];FAT;g;27.5;00090
Sacharidy celkové;CHOT;g;12.9;00090
Sacharidy využitelné;CHO;g;11.1;00090
Vláknina potravy;FIBT;g;1.8;00090
Voda celková;WATER;g;34.4;00090
Ethanol;ALC;g;;
Popel;ASH;g;3.3;00090
Vitaminy;;;;
Vitamin B1 (thiamin);THIA;mg;;
Vitamin B2 (riboflavin);RIBF;mg;;
Niacin ekvivalent;NIAEQ;NE;;
Niacin;NIA;mg;;
Foláty celkové;FOL;μg;;
Kyselina pantothenová;PANTAC;mg;;
Vitamin B6 (pyridoxin);PYRXN;mg;;
Vitamin B12;VITB12;μg;;
Vitamin C;VITC;mg;;
Vitamin A;VITA;RE;;
Retinol;RETOL;μg;;
beta-karoten;CARTB;μg;;
Vitamin D;VITD;μg;;
Vitamin E;VITE;ATE;;
alfa - tokoferol;TOCPHA;mg;;
Minerální látky;;;;
Sodík;NA;mg;516;00090
Hořčík;MG;mg;;
Fosfor;P;mg;;
Draslík;K;mg;;
Vápník;CA;mg;;
Železo;FE;mg;;
Měď;CU;mg;;
Zinek;ZN;mg;;
Selen;SE;μg;;
Jód;ID;μg;;
Sůl;NACL;g;1.29;00090
Cukry, škrob, polyoly, organické kyseliny;;;;
Cukry celkové;SUGAR;g;0.6;00090
Fruktosa;FRUS;g;0.0;00090
Glukosa;GLUS;g;0.0;00090
Laktosa;LACS;g;0.3;00090
Maltosa;MALS;g;0.3;00090
Sacharosa;SUCS;g;0.0;00090
Škrob;STARCH;g;;
Organické kyseliny;OA;g;;
Polyoly;POLY;g;;
Mastné kyseliny a cholesterol;;;;
Nasycené mastné kyseliny;FASAT;g;12.85;00090
C 4:0;F4:0;g;0.00;00090
C 6:0;F6:0;g;0.00;00090
C 8:0;F8:0;g;0.10;00090
C 10:0;F10:0;g;0.52;00090
C 12:0;F12:0;g;0.71;00090
C 13:0;F13:0;g;0.03;00090
C 14:0;F14:0;g;2.28;00090
C 15:0;F15:0;g;0.25;00090
C 16:0;F16:0;g;6.74;00090
C 17:0;F17:0;g;0.12;00090
C 18:0;F18:0;g;1.92;00090
C 20:0;F20:0;g;0.09;00090
C 22:0;F22:0;g;0.09;00090
Mononenasycené mastné kyseliny;FAMS;g;9.70;00090
C 14:1;F14:1CN5;g;0.14;00090
C 16:1;F16:1CN7;g;0.30;00090
C 17:1;F17:1;g;0.05;00090
C 18:1, n-9;F18:1CN9;g;8.99;00090
C 20:1, n-11;F20:1CN11;g;0.02;00090
C 22:1, n-9;F22:1CN9;g;0.00;00090
Polynenasycené mastné kyseliny;FAPU;g;3.28;00090
n-6 mastné kyseliny;FACN6;g;2.52;00090
C 18:2, n-6;F18:2CN6;g;2.45;00090
C 18:3, n-6;F18:3CN6;g;0.07;00090
C 20:4, n-6;F20:4CN6;g;0.00;00090
n-3 mastné kyseliny;FACN3;g;0.76;00090
C 18:3, n-3;F18:3CN3;g;0.76;00090
C 20:5, n-3 (EPA);F20:5CN3;g;0.00;00090
C 22:5, n-3 (DPA);F22:5CN3;g;;
C 22:6, n-3 (DHA);F22:6CN3;g;0.00;00090
Trans- mastné kyseliny;FATRN;g;0.20;00090
C 18:1, n-9 trans;F18:1TN9;g;0.20;00090
C 18:2, n-6 trans;F18:2 TTN6;g;0.00;00090
Cholesterol;CHORL;mg;;
Aminokyseliny;;;;
Glycin;GLY;mg;;
Alanin;ALA;mg;;
Valin;VAL;mg;;
Leucin;LEU;mg;;
Isoleucin;ILE;mg;;
Serin;SER;mg;;
Threonin;THR;mg;;
Lysin;LYS;mg;;
Asparagová kyselina;ASP;mg;;
Glutamová kyselina;GLU;mg;;
Arginin;ARG;mg;;
Cystein;CYS;mg;;
Methionin;MET;mg;;
Fenylalanin;PHE;mg;;
Tyrosin;TYR;mg;;
Tryptofan;TRP;mg;;
Histidin;HIS;mg;;
Prolin;PRO;mg;;
