Tlačenka, modelová receptura;;;;
Název nutrientu;Kód EuroFIR;Jednotka;Hodnota;Citace
Nutrienty základní;;;;
Energetická hodnota (kJ);ENERC;kJ;884;00086
Energetická hodnota (kcal);ENERC;kcal;211;00086
Bílkoviny celkové [NCF:6.25];PROT;g;16.9;00086
Dusík celkový;NT;g;2.7;00086
Tuky celkové [FACF:0.800];FAT;g;16.0;00086
Sacharidy celkové;CHOT;g;0.2;00086
Sacharidy využitelné;CHO;g;0.1;00086
Vláknina potravy;FIBT;g;0.2;00086
Voda celková;WATER;g;64.7;00086
Ethanol;ALC;g;;
Popel;ASH;g;3.1;00086
Vitaminy;;;;
Vitamin B1 (thiamin);THIA;mg;;
Vitamin B2 (riboflavin);RIBF;mg;;
Niacin ekvivalent;NIAEQ;NE;;
Niacin;NIA;mg;;
Foláty celkové;FOL;μg;;
Kyselina pantothenová;PANTAC;mg;;
Vitamin B6 (pyridoxin);PYRXN;mg;;
Vitamin B12;VITB12;μg;;
Vitamin C;VITC;mg;;
Vitamin A;VITA;RE;;
Retinol;RETOL;μg;;
beta-karoten;CARTB;μg;;
Vitamin D;VITD;μg;;
Vitamin E;VITE;ATE;;
alfa - tokoferol;TOCPHA;mg;;
Minerální látky;;;;
Sodík;NA;mg;800;00086
Hořčík;MG;mg;;
Fosfor;P;mg;;
Draslík;K;mg;;
Vápník;CA;mg;;
Železo;FE;mg;;
Měď;CU;mg;;
Zinek;ZN;mg;;
Selen;SE;μg;;
Jód;ID;μg;;
Sůl;NACL;g;2.0;00086
Cukry, škrob, polyoly, organické kyseliny;;;;
Cukry celkové;SUGAR;g;0.1;00086
Fruktosa;FRUS;g;0.0;00086
Glukosa;GLUS;g;0.1;00086
Laktosa;LACS;g;0.0;00086
Maltosa;MALS;g;0.0;00086
Sacharosa;SUCS;g;0.0;00086
Škrob;STARCH;g;0.1;
Organické kyseliny;OA;g;;
Polyoly;POLY;g;;
Mastné kyseliny a cholesterol;;;;
Nasycené mastné kyseliny;FASAT;g;11.05;00086
C 4:0;F4:0;g;0.00;00086
C 6:0;F6:0;g;0.00;00086
C 8:0;F8:0;g;0.00;00086
C 10:0;F10:0;g;0.00;00086
C 12:0;F12:0;g;0.00;00086
C 13:0;F13:0;g;0.00;00086
C 14:0;F14:0;g;0.49;00086
C 15:0;F15:0;g;0.00;00086
C 16:0;F16:0;g;2.55;00086
C 17:0;F17:0;g;0.00;00086
C 18:0;F18:0;g;8.00;00086
C 20:0;F20:0;g;0.00;00086
C 22:0;F22:0;g;0.00;00086
Mononenasycené mastné kyseliny;FAMS;g;1.42;00086
C 14:1;F14:1CN5;g;0.00;00086
C 16:1;F16:1CN7;g;0,01;00086
C 17:1;F17:1;g;0.00;00086
C 18:1, n-9;F18:1CN9;g;1.42;00086
C 20:1, n-11;F20:1CN11;g;0.00;00086
C 22:1, n-9;F22:1CN9;g;0.00;00086
Polynenasycené mastné kyseliny;FAPU;g;0.18;00086
n-6 mastné kyseliny;FACN6;g;0.07;00086
C 18:2, n-6;F18:2CN6;g;0.01;00086
C 18:3, n-6;F18:3CN6;g;0.00;00086
C 20:4, n-6;F20:4CN6;g;0.06;00086
n-3 mastné kyseliny;FACN3;g;0.11;00086
C 18:3, n-3;F18:3CN3;g;0,08;00086
C 20:5, n-3 (EPA);F20:5CN3;g;0.03;00086
C 22:5, n-3 (DPA);F22:5CN3;g;0.00;
C 22:6, n-3 (DHA);F22:6CN3;g;0.00;00086
Trans- mastné kyseliny;FATRN;g;0.00;00086
C 18:1, n-9 trans;F18:1TN9;g;0.00;00086
C 18:2, n-6 trans;F18:2 TTN6;g;0.00;00086
Cholesterol;CHORL;mg;;
Aminokyseliny;;;;
Glycin;GLY;mg;;
Alanin;ALA;mg;;
Valin;VAL;mg;;
Leucin;LEU;mg;;
Isoleucin;ILE;mg;;
Serin;SER;mg;;
Threonin;THR;mg;;
Lysin;LYS;mg;;
Asparagová kyselina;ASP;mg;;
Glutamová kyselina;GLU;mg;;
Arginin;ARG;mg;;
Cystein;CYS;mg;;
Methionin;MET;mg;;
Fenylalanin;PHE;mg;;
Tyrosin;TYR;mg;;
Tryptofan;TRP;mg;;
Histidin;HIS;mg;;
Prolin;PRO;mg;;
