Tuňák modroploutvý;;;;
Název nutrientu;Kód EuroFIR;Jednotka;Hodnota;Citace
Nutrienty základní;;;;
Energetická hodnota (kJ);ENERC;kJ;610;00012
Energetická hodnota (kcal);ENERC;kcal;145;00012
Bílkoviny celkové [NCF:6.25];PROT;g;23.7;00020
Dusík celkový;NT;g;3.8;00012
Tuky celkové [FACF:0.700];FAT;g;5.6;00020
Sacharidy celkové;CHOT;g;0;00012
Sacharidy využitelné;CHO;g;0;00012
Vláknina potravy;FIBT;g;0;00000
Voda celková;WATER;g;69.5;00020
Ethanol;ALC;g;0;00000
Popel;ASH;g;1.2;00053
Vitaminy;;;;
Vitamin B1 (thiamin);THIA;mg;0.18;00020
Vitamin B2 (riboflavin);RIBF;mg;0.16;00020
Niacin ekvivalent;NIAEQ;NE;;
Niacin;NIA;mg;;
Foláty celkové;FOL;μg;;
Kyselina pantothenová;PANTAC;mg;;
Vitamin B6 (pyridoxin);PYRXN;mg;;
Vitamin B12;VITB12;μg;;
Vitamin C;VITC;mg;0;00002
Vitamin A;VITA;RE;383;00012
Retinol;RETOL;μg;383;00020
beta-karoten;CARTB;μg;0;00002
Vitamin D;VITD;μg;;
Vitamin E;VITE;ATE;1.13;00053
alfa - tokoferol;TOCPHA;mg;1.13;00012
Minerální látky;;;;
Sodík;NA;mg;43;00020
Hořčík;MG;mg;39;00020
Fosfor;P;mg;237;00020
Draslík;K;mg;347;00020
Vápník;CA;mg;16;00020
Železo;FE;mg;1.2;00020
Měď;CU;mg;;
Zinek;ZN;mg;;
Selen;SE;μg;;
Jód;ID;μg;;
Sůl;NACL;g;0.1;00012
Cukry, škrob, polyoly, organické kyseliny;;;;
Cukry celkové;SUGAR;g;0;00000
Fruktosa;FRUS;g;;
Glukosa;GLUS;g;;
Laktosa;LACS;g;;
Maltosa;MALS;g;;
Sacharosa;SUCS;g;;
Škrob;STARCH;g;;
Organické kyseliny;OA;g;;
Polyoly;POLY;g;;
Mastné kyseliny a cholesterol;;;;
Nasycené mastné kyseliny;FASAT;g;1.34;00012
C 4:0;F4:0;g;;
C 6:0;F6:0;g;;
C 8:0;F8:0;g;;
C 10:0;F10:0;g;;
C 12:0;F12:0;g;;
C 13:0;F13:0;g;;
C 14:0;F14:0;g;0.14;00053
C 15:0;F15:0;g;;
C 16:0;F16:0;g;0.88;00053
C 17:0;F17:0;g;;
C 18:0;F18:0;g;0.32;00053
C 20:0;F20:0;g;;
C 22:0;F22:0;g;;
Mononenasycené mastné kyseliny;FAMS;g;1.58;00012
C 14:1;F14:1CN5;g;;
C 16:1;F16:1CN7;g;0.29;00053
C 17:1;F17:1;g;;
C 18:1, n-9;F18:1CN9;g;0.94;00053
C 20:1, n-11;F20:1CN11;g;0.17;00053
C 22:1, n-9;F22:1CN9;g;0.15;00053
Polynenasycené mastné kyseliny;FAPU;g;1.73;00012
n-6 mastné kyseliny;FACN6;g;;
C 18:2, n-6;F18:2CN6;g;0.06;00053
C 18:3, n-6;F18:3CN6;g;;
C 20:4, n-6;F20:4CN6;g;0.07;00053
n-3 mastné kyseliny;FACN3;g;;
C 18:3, n-3;F18:3CN3;g;0.08;00053
C 20:5, n-3 (EPA);F20:5CN3;g;0.28;00053
C 22:5, n-3 (DPA);F22:5CN3;g;0.09;00053
C 22:6, n-3 (DHA);F22:6CN3;g;0.83;00053
Trans- mastné kyseliny;FATRN;g;;
C 18:1, n-9 trans;F18:1TN9;g;;
C 18:2, n-6 trans;F18:2 TTN6;g;;
Cholesterol;CHORL;mg;43;00020
Aminokyseliny;;;;
Glycin;GLY;mg;;
Alanin;ALA;mg;;
Valin;VAL;mg;;
Leucin;LEU;mg;;
Isoleucin;ILE;mg;;
Serin;SER;mg;;
Threonin;THR;mg;;
Lysin;LYS;mg;;
Asparagová kyselina;ASP;mg;;
Glutamová kyselina;GLU;mg;;
Arginin;ARG;mg;;
Cystein;CYS;mg;;
Methionin;MET;mg;;
Fenylalanin;PHE;mg;;
Tyrosin;TYR;mg;;
Tryptofan;TRP;mg;;
Histidin;HIS;mg;;
Prolin;PRO;mg;;
