Vejce slepičí, žloutek, sušený;;;;
Název nutrientu;Kód EuroFIR;Jednotka;Hodnota;Citace
Nutrienty základní;;;;
Energetická hodnota (kJ);ENERC;kJ;2684;00012
Energetická hodnota (kcal);ENERC;kcal;648;00012
Bílkoviny celkové [NCF:6.25];PROT;g;33.1;00012
Dusík celkový;NT;g;5.3;00068
Tuky celkové [FACF:0.830];FAT;g;55.4;00068
Sacharidy celkové;CHOT;g;4.2;00012
Sacharidy využitelné;CHO;g;4.2;00012
Vláknina potravy;FIBT;g;0;00000
Voda celková;WATER;g;3.7;00068
Ethanol;ALC;g;0;00000
Popel;ASH;g;3.6;00068
Vitaminy;;;;
Vitamin B1 (thiamin);THIA;mg;0.40;00020
Vitamin B2 (riboflavin);RIBF;mg;1.27;00020
Niacin ekvivalent;NIAEQ;NE;;
Niacin;NIA;mg;;
Foláty celkové;FOL;μg;;
Kyselina pantothenová;PANTAC;mg;;
Vitamin B6 (pyridoxin);PYRXN;mg;;
Vitamin B12;VITB12;μg;;
Vitamin C;VITC;mg;0;00002
Vitamin A;VITA;RE;795;00012
Retinol;RETOL;μg;779;00020
beta-karoten;CARTB;μg;186;00002
Vitamin D;VITD;μg;;
Vitamin E;VITE;ATE;3.70;00012
alfa - tokoferol;TOCPHA;mg;3.70;00053
Minerální látky;;;;
Sodík;NA;mg;1225;00068
Hořčík;MG;mg;13;00020
Fosfor;P;mg;461;00020
Draslík;K;mg;244;00020
Vápník;CA;mg;283;00020
Železo;FE;mg;9.6;00020
Měď;CU;mg;;
Zinek;ZN;mg;;
Selen;SE;μg;;
Jód;ID;μg;;
Sůl;NACL;g;3.06;00012
Cukry, škrob, polyoly, organické kyseliny;;;;
Cukry celkové;SUGAR;g;0.8;00012
Fruktosa;FRUS;g;0;00068
Glukosa;GLUS;g;0.8;00068
Laktosa;LACS;g;0;00068
Maltosa;MALS;g;0;00068
Sacharosa;SUCS;g;0;00068
Škrob;STARCH;g;;
Organické kyseliny;OA;g;;
Polyoly;POLY;g;;
Mastné kyseliny a cholesterol;;;;
Nasycené mastné kyseliny;FASAT;g;14.91;00012
C 4:0;F4:0;g;0;00068
C 6:0;F6:0;g;0;00068
C 8:0;F8:0;g;0;00068
C 10:0;F10:0;g;0;00068
C 12:0;F12:0;g;0;00068
C 13:0;F13:0;g;0;00068
C 14:0;F14:0;g;0.16;00068
C 15:0;F15:0;g;0;00068
C 16:0;F16:0;g;11.28;00068
C 17:0;F17:0;g;0;00068
C 18:0;F18:0;g;3.47;00068
C 20:0;F20:0;g;0;00068
C 22:0;F22:0;g;0;00068
Mononenasycené mastné kyseliny;FAMS;g;24.18;00012
C 14:1;F14:1CN5;g;0;00068
C 16:1;F16:1CN7;g;2.06;00068
C 17:1;F17:1;g;0;00068
C 18:1, n-9;F18:1CN9;g;21.98;00068
C 20:1, n-11;F20:1CN11;g;0.14;00068
C 22:1, n-9;F22:1CN9;g;0;00068
Polynenasycené mastné kyseliny;FAPU;g;6.49;00012
n-6 mastné kyseliny;FACN6;g;6.28;00012
C 18:2, n-6;F18:2CN6;g;5.68;00068
C 18:3, n-6;F18:3CN6;g;0;00068
C 20:4, n-6;F20:4CN6;g;0.60;00068
n-3 mastné kyseliny;FACN3;g;0.21;00012
C 18:3, n-3;F18:3CN3;g;0.21;00068
C 20:5, n-3 (EPA);F20:5CN3;g;0;00068
C 22:5, n-3 (DPA);F22:5CN3;g;;
C 22:6, n-3 (DHA);F22:6CN3;g;0;00068
Trans- mastné kyseliny;FATRN;g;0;00000
C 18:1, n-9 trans;F18:1TN9;g;0;00000
C 18:2, n-6 trans;F18:2 TTN6;g;0;00000
Cholesterol;CHORL;mg;2335;00020
Aminokyseliny;;;;
Glycin;GLY;mg;;
Alanin;ALA;mg;;
Valin;VAL;mg;;
Leucin;LEU;mg;;
Isoleucin;ILE;mg;;
Serin;SER;mg;;
Threonin;THR;mg;;
Lysin;LYS;mg;;
Asparagová kyselina;ASP;mg;;
Glutamová kyselina;GLU;mg;;
Arginin;ARG;mg;;
Cystein;CYS;mg;;
Methionin;MET;mg;;
Fenylalanin;PHE;mg;;
Tyrosin;TYR;mg;;
Tryptofan;TRP;mg;;
Histidin;HIS;mg;;
Prolin;PRO;mg;;
