Čokoláda hořká, obsah kakaa 45-59 %;;;;
Název nutrientu;Kód EuroFIR;Jednotka;Hodnota;Citace
Nutrienty základní;;;;
Energetická hodnota (kJ);ENERC;kJ;2220;00012
Energetická hodnota (kcal);ENERC;kcal;532;00012
Bílkoviny celkové [NCF:6.25];PROT;g;4.9;00041
Dusík celkový;NT;g;0.8;00012
Tuky celkové [FACF:0.000];FAT;g;31.3;00041
Sacharidy celkové;CHOT;g;61.1;00012
Sacharidy využitelné;CHO;g;54.1;00012
Vláknina potravy;FIBT;g;7.0;00041
Voda celková;WATER;g;1.0;00041
Ethanol;ALC;g;0;00000
Popel;ASH;g;1.7;00041
Vitaminy;;;;
Vitamin B1 (thiamin);THIA;mg;0.03;00041
Vitamin B2 (riboflavin);RIBF;mg;0.05;00041
Niacin ekvivalent;NIAEQ;NE;;
Niacin;NIA;mg;;
Foláty celkové;FOL;μg;;
Kyselina pantothenová;PANTAC;mg;;
Vitamin B6 (pyridoxin);PYRXN;mg;;
Vitamin B12;VITB12;μg;;
Vitamin C;VITC;mg;0;00004
Vitamin A;VITA;RE;2;00012
Retinol;RETOL;μg;0;00004
beta-karoten;CARTB;μg;26;00041
Vitamin D;VITD;μg;;
Vitamin E;VITE;ATE;0.54;00012
alfa - tokoferol;TOCPHA;mg;0.54;00041
Minerální látky;;;;
Sodík;NA;mg;24;00041
Hořčík;MG;mg;146;00041
Fosfor;P;mg;206;00041
Draslík;K;mg;559;00041
Vápník;CA;mg;56;00041
Železo;FE;mg;8.2;00041
Měď;CU;mg;;
Zinek;ZN;mg;;
Selen;SE;μg;;
Jód;ID;μg;;
Sůl;NACL;g;0.1;00012
Cukry, škrob, polyoly, organické kyseliny;;;;
Cukry celkové;SUGAR;g;48.0;00012
Fruktosa;FRUS;g;0;00041
Glukosa;GLUS;g;0;00041
Laktosa;LACS;g;1.7;00041
Maltosa;MALS;g;0;00041
Sacharosa;SUCS;g;46.3;00041
Škrob;STARCH;g;;
Organické kyseliny;OA;g;;
Polyoly;POLY;g;;
Mastné kyseliny a cholesterol;;;;
Nasycené mastné kyseliny;FASAT;g;18.41;00012
C 4:0;F4:0;g;0.06;00041
C 6:0;F6:0;g;0.04;00041
C 8:0;F8:0;g;0.03;00041
C 10:0;F10:0;g;0.09;00041
C 12:0;F12:0;g;0.08;00041
C 13:0;F13:0;g;;
C 14:0;F14:0;g;0.26;00041
C 15:0;F15:0;g;;
C 16:0;F16:0;g;7.62;00041
C 17:0;F17:0;g;;
C 18:0;F18:0;g;9.84;00041
C 20:0;F20:0;g;0.31;00041
C 22:0;F22:0;g;0.05;00041
Mononenasycené mastné kyseliny;FAMS;g;9.53;00012
C 14:1;F14:1CN5;g;0.02;00041
C 16:1;F16:1CN7;g;0.10;00041
C 17:1;F17:1;g;;
C 18:1, n-9;F18:1CN9;g;9.31;00041
C 20:1, n-11;F20:1CN11;g;0.02;00041
C 22:1, n-9;F22:1CN9;g;0;00041
Polynenasycené mastné kyseliny;FAPU;g;1.06;00012
n-6 mastné kyseliny;FACN6;g;0.95;00012
C 18:2, n-6;F18:2CN6;g;0.95;00041
C 18:3, n-6;F18:3CN6;g;;
C 20:4, n-6;F20:4CN6;g;0;00041
n-3 mastné kyseliny;FACN3;g;0.09;00012
C 18:3, n-3;F18:3CN3;g;0.09;00041
C 20:5, n-3 (EPA);F20:5CN3;g;0;00041
C 22:5, n-3 (DPA);F22:5CN3;g;0;00041
C 22:6, n-3 (DHA);F22:6CN3;g;0;00041
Trans- mastné kyseliny;FATRN;g;0.11;00041
C 18:1, n-9 trans;F18:1TN9;g;0.08;00041
C 18:2, n-6 trans;F18:2 TTN6;g;0.02;00041
Cholesterol;CHORL;mg;8;00041
Aminokyseliny;;;;
Glycin;GLY;mg;;
Alanin;ALA;mg;;
Valin;VAL;mg;;
Leucin;LEU;mg;;
Isoleucin;ILE;mg;;
Serin;SER;mg;;
Threonin;THR;mg;;
Lysin;LYS;mg;;
Asparagová kyselina;ASP;mg;;
Glutamová kyselina;GLU;mg;;
Arginin;ARG;mg;;
Cystein;CYS;mg;;
Methionin;MET;mg;;
Fenylalanin;PHE;mg;;
Tyrosin;TYR;mg;;
Tryptofan;TRP;mg;;
Histidin;HIS;mg;;
Prolin;PRO;mg;;
