Štikozubec obecný (štika mořská, hejk, merlůza), maso bez kostí, smažené;;;;
Název nutrientu;Kód EuroFIR;Jednotka;Hodnota;Citace
Nutrienty základní;;;;
Energetická hodnota (kJ);ENERC;kJ;516;00012
Energetická hodnota (kcal);ENERC;kcal;124;00012
Bílkoviny celkové [NCF:6.25];PROT;g;14.9;00012
Dusík celkový;NT;g;2.4;00050
Tuky celkové [FACF:0.700];FAT;g;7.1;00050
Sacharidy celkové;CHOT;g;0;00000
Sacharidy využitelné;CHO;g;0;00000
Vláknina potravy;FIBT;g;0;00000
Voda celková;WATER;g;74.4;00050
Ethanol;ALC;g;0;00000
Popel;ASH;g;1.5;00050
Vitaminy;;;;
Vitamin B1 (thiamin);THIA;mg;0.02;00050
Vitamin B2 (riboflavin);RIBF;mg;0.04;00050
Niacin ekvivalent;NIAEQ;NE;;
Niacin;NIA;mg;1.9;00050
Foláty celkové;FOL;μg;;
Kyselina pantothenová;PANTAC;mg;;
Vitamin B6 (pyridoxin);PYRXN;mg;0.07;00050
Vitamin B12;VITB12;μg;;
Vitamin C;VITC;mg;;
Vitamin A;VITA;RE;;
Retinol;RETOL;μg;;
beta-karoten;CARTB;μg;;
Vitamin D;VITD;μg;;
Vitamin E;VITE;ATE;0.19;00012
alfa - tokoferol;TOCPHA;mg;0.19;00050
Minerální látky;;;;
Sodík;NA;mg;206;00050
Hořčík;MG;mg;36;00050
Fosfor;P;mg;238;00050
Draslík;K;mg;396;00050
Vápník;CA;mg;17;00050
Železo;FE;mg;;
Měď;CU;mg;0.04;00050
Zinek;ZN;mg;0.27;00050
Selen;SE;μg;;
Jód;ID;μg;3.7;00050
Sůl;NACL;g;0.5;00012
Cukry, škrob, polyoly, organické kyseliny;;;;
Cukry celkové;SUGAR;g;0;00000
Fruktosa;FRUS;g;;
Glukosa;GLUS;g;;
Laktosa;LACS;g;;
Maltosa;MALS;g;;
Sacharosa;SUCS;g;;
Škrob;STARCH;g;;
Organické kyseliny;OA;g;;
Polyoly;POLY;g;;
Mastné kyseliny a cholesterol;;;;
Nasycené mastné kyseliny;FASAT;g;2.26;00012
C 4:0;F4:0;g;;
C 6:0;F6:0;g;;
C 8:0;F8:0;g;;
C 10:0;F10:0;g;;
C 12:0;F12:0;g;0.01;00050
C 13:0;F13:0;g;;
C 14:0;F14:0;g;0.08;00050
C 15:0;F15:0;g;;
C 16:0;F16:0;g;1.31;00050
C 17:0;F17:0;g;;
C 18:0;F18:0;g;0.85;00050
C 20:0;F20:0;g;0.01;00050
C 22:0;F22:0;g;;
Mononenasycené mastné kyseliny;FAMS;g;2.13;00012
C 14:1;F14:1CN5;g;;
C 16:1;F16:1CN7;g;0.13;00050
C 17:1;F17:1;g;;
C 18:1, n-9;F18:1CN9;g;1.96;00050
C 20:1, n-11;F20:1CN11;g;0.04;00050
C 22:1, n-9;F22:1CN9;g;0.00;00050
Polynenasycené mastné kyseliny;FAPU;g;0.50;00012
n-6 mastné kyseliny;FACN6;g;0.30;00012
C 18:2, n-6;F18:2CN6;g;0.29;00050
C 18:3, n-6;F18:3CN6;g;0.01;00050
C 20:4, n-6;F20:4CN6;g;;
n-3 mastné kyseliny;FACN3;g;0.20;00012
C 18:3, n-3;F18:3CN3;g;0.02;00050
C 20:5, n-3 (EPA);F20:5CN3;g;0.05;00050
C 22:5, n-3 (DPA);F22:5CN3;g;0.02;00050
C 22:6, n-3 (DHA);F22:6CN3;g;0.11;00050
Trans- mastné kyseliny;FATRN;g;;
C 18:1, n-9 trans;F18:1TN9;g;;
C 18:2, n-6 trans;F18:2 TTN6;g;;
Cholesterol;CHORL;mg;;
Aminokyseliny;;;;
Glycin;GLY;mg;;
Alanin;ALA;mg;;
Valin;VAL;mg;;
Leucin;LEU;mg;;
Isoleucin;ILE;mg;;
Serin;SER;mg;;
Threonin;THR;mg;;
Lysin;LYS;mg;;
Asparagová kyselina;ASP;mg;;
Glutamová kyselina;GLU;mg;;
Arginin;ARG;mg;;
Cystein;CYS;mg;;
Methionin;MET;mg;;
Fenylalanin;PHE;mg;;
Tyrosin;TYR;mg;;
Tryptofan;TRP;mg;;
Histidin;HIS;mg;;
Prolin;PRO;mg;;
