Název potraviny;Energie (kJ);Bílkoviny (g);SAFA (g);Tuky (g);Cukry (g);Sacharidy (g);Vláknina (g);Sůl (g);Náhrada (optional)
Butterfish (syrová);610;17;2.2;8;0;0;0;0.2;Butterfish můžete nahradit jinou rybou, například halibutem či treskou.
Candát (syrový);350;19;0.3;1;0;0;0;0.2;Do jídelníčku zařazujte občas i tučnější mořské ryby, které obsahují zdraví prospěšné omega 3 mastné kyseliny.
Garnáti (syroví);370;18;0.6;2;0;0;0;0.3;Do jídelníčku zařazujte občas i tučnější mořské ryby, které obsahují zdraví prospěšné omega 3 mastné kyseliny.
Halibut (syrový);500;21;1.1;4;0;0;0;0.17;Občas můžete do jídelníčku zařadit i tučnější mořské ryby, které obsahují více zdraví prospěšných omega 3 mastných kyselin.
Hejk (syrový);380;16;0.8;3;0;0;0;0.2;Občas můžete do jídelníčku zařadit i tučnější mořské ryby, které obsahují více zdraví prospěšných omega 3 mastných kyselin.
Herink (syrový);820;16;3.9;14;0;0;0;0.2;Tučné ryby můžete občas v malém množství konzumovat, ve větším množství však do jídelníčku zařazujte méně tučné ryby, například halibuta nebo tresku.
Humr (syrový);350;18;0.3;1;0;0;0;0.8;Do jídelníčku zařazujte občas i tučnější mořské ryby, které obsahují zdraví prospěšné omega 3 mastné kyseliny.
Chobotnice (syrová);330;15;0.3;1;0;2;0;0.5;Do jídelníčku zařazujte občas i tučnější mořské ryby, které obsahují zdraví prospěšné omega 3 mastné kyseliny.
Jeseter (syrový);440;16;1.1;4;0;0;0;0.14;Občas můžete do jídelníčku zařadit i tučnější mořské ryby, které obsahují více zdraví prospěšných omega 3 mastných kyselin.
Kalamáry (syrové);390;16;0.3;1;0;3;0;0.5;Do jídelníčku zařazujte občas i tučnější mořské ryby, které obsahují zdraví prospěšné omega 3 mastné kyseliny.
Kapr (syrový);530;18;1.7;6;0;0;0;0.1;Do jídelníčku zařazujte občas i tučnější mořské ryby, které obsahují zdraví prospěšné omega 3 mastné kyseliny.
Krab (syrový);400;19;0.6;2;0;0;0;0.6;Do jídelníčku zařazujte občas i tučnější mořské ryby, které obsahují zdraví prospěšné omega 3 mastné kyseliny.
Krevety (syrové);390;18;0.6;2;0;1;0;0.3;Do jídelníčku zařazujte občas i tučnější mořské ryby, které obsahují zdraví prospěšné omega 3 mastné kyseliny.
